prefix,public_prefix_mass,generated_prefix_mass,prefix_mass_abs_diff,prefix_l1_contribution,suffix_l1,suffix_kl,weighted_suffix_l1
854,0.0017131807891193646,0.0017117382448492622,1.4425442701024478e-06,1.4425442700994353e-06,2.235587610215431e-15,9.394150487789579e-18,3.8299657462143465e-18
525,0.004444433389971531,0.0044457010854092645,1.26769543773355e-06,1.2676954377341281e-06,2.7787288529174115e-15,6.915263853906459e-17,1.2349875295583435e-17
844,0.0022230859414599804,0.002224313560180836,1.2276187208557117e-06,1.2276187208580444e-06,2.148536340160212e-15,1.1705320351790377e-16,4.7763809325260454e-18
840,0.0022230859414599795,0.0022243135601808365,1.2276187208570127e-06,1.2276187208568886e-06,2.5420204136095137e-15,0.0,5.651129844399592e-18
577,0.002066992261660894,0.0020682088418963285,1.2165802354344168e-06,1.2165802354343048e-06,1.1276786796021732e-15,4.4156892065435365e-17,2.3309031043776667e-18
028,1.3307385889608244e-06,1.3307090252211386e-07,1.1976676864387106e-06,1.197667686438712e-06,1.6303690168750773e-15,1.2338958275383105e-16,2.169594965001787e-21
024,1.3307385889608249e-06,1.330709025221138e-07,1.197667686438711e-06,1.1976676864387108e-06,1.5898740657327437e-15,5.1837619164480454e-17,2.115706770858601e-21
008,1.3307385889608238e-06,1.330709025221137e-07,1.19766768643871e-06,1.1976676864387108e-06,1.98113552472845e-15,1.2942908504058574e-17,2.636373492717299e-21
094,1.3307385889608263e-06,1.3307090252211347e-07,1.197667686438713e-06,1.1976676864387096e-06,2.0197907203093474e-15,0.0,2.687813453140632e-21
822,0.002125509062178917,0.0021243274257775994,1.181636401317767e-06,1.1816364013168408e-06,1.281662493149427e-15,1.7774927417059673e-16,2.7241852438439313e-18
828,0.002125509062178915,0.002124327425777598,1.1816364013168996e-06,1.181636401316157e-06,1.3117762084902118e-15,8.040120523470784e-17,2.788192218696643e-18
824,0.0021255090621789155,0.0021243274257776003,1.181636401315165e-06,1.1816364013152903e-06,1.1999949645069563e-15,5.67356619201814e-17,2.5506001716286015e-18
821,0.002125509062178914,0.002124327425777598,1.1816364013160323e-06,1.1816364013151382e-06,1.2511693070482721e-15,1.5462432366021555e-16,2.659371700451215e-18
827,0.002125509062178915,0.0021243274257776016,1.1816364013134302e-06,1.1816364013143276e-06,1.9028290228206846e-15,0.0,4.0444803317824145e-18
829,0.0021255090621789168,0.0021243274257776025,1.1816364013142976e-06,1.1816364013138315e-06,1.8421001486343402e-15,6.730261119860279e-18,3.91540055936342e-18
