gram,public_r_prob
3998407,0.0005494419661753728
3998419,0.0005494419661753725
3998473,0.0005494419661753724
3927426,0.0005494419661753715
3927465,0.0005494419661753712
3877777,0.0005451880682841995
3877782,0.0005451880682841991
3877778,0.0005451880682841986
3877785,0.000545188068284197
6792584,0.0005391420873006958
6792581,0.0005391420873006946
8465426,0.0005230790450494076
8465465,0.0005230790450494073
4725845,0.0005145385968287323
4110445,0.0005145385968287287
9015813,0.0005136857747787612
4654078,0.0005098067663110527
4654110,0.0005098067663110524
4654113,0.0005098067663110522
4654198,0.0005098067663110518
4654197,0.0005098067663110517
4654075,0.000509806766311051
6739274,0.0005074278468712406
7853998,0.000504014587092987
7853952,0.0005040145870929869
7850678,0.0005040145870929852
7850679,0.000504014587092984
7850673,0.0005040145870929823
5453998,0.0005027630237376834
5453952,0.0005027630237376832
2581104,0.000499696957863944
9984267,0.000498971531630343
7782426,0.0004970539752074149
7785067,0.0004970539752074134
2747258,0.0004960780518112399
2741104,0.0004960780518112396
2741984,0.0004960780518112393
2747254,0.0004960780518112391
4901539,0.0004924165502630095
4901584,0.0004924165502630092
4901581,0.0004924165502630081
4901532,0.0004924165502630056
1139984,0.000491478634855392
2584725,0.000489898978297986
2547258,0.0004898989782979856
2547254,0.0004898989782979847
2541104,0.0004898989782979846
2541984,0.0004898989782979842
5845506,0.0004882043895984848
5679015,0.0004856497702031506
7392745,0.00048162191905891383
5392745,0.00048008937955888145
1373998,0.00047096944380512027
1373952,0.00047096944380512016
2679258,0.00046985244356793714
2679254,0.00046985244356793644
0455067,0.00046847954041151176
8453998,0.0004631429044708313
8453952,0.0004631429044708311
4532426,0.0004611770703922658
9274267,0.00046017137495598596
5846545,0.00045948648432798386
3739274,0.00045133625553537546
3952584,0.0004447863535705419
3952581,0.00044478635357054087
3952212,0.00044478635357054054
2673998,0.00044221406453452867
2673952,0.0004422140645345286
2654654,0.0004422140645345285
4110452,0.0004373578073044229
4110455,0.00043735780730442056
4110457,0.00043735780730441937
4110453,0.00043735780730441926
1539274,0.00043433058736290866
8550678,0.000428295197279842
8550679,0.00042829519727984104
8550673,0.0004282951972798396
4261373,0.0004257026895613552
1979015,0.0004224315223221019
4725813,0.00041986349501224395
9984539,0.00041580960969195437
9984556,0.000415809609691954
9984550,0.00041580960969195383
9984532,0.00041580960969195106
5568834,0.00041247589635249845
5567901,0.0004124758963524978
4113739,0.0004116308774629846
4725426,0.0004116308774629846
4725465,0.0004116308774629844
4198465,0.0004116308774629832
4198426,0.00041163087746298277
4739274,0.0004116308774629826
6782426,0.0004107749236576742
6785067,0.00041077492365767295
7392584,0.0004093786312000758
7392581,0.00040937863120007486
5392584,0.00040807597262504814
5392581,0.00040807597262504733
9015325,0.00040768712284028477
9524267,0.0004039293351293261
4539258,0.00040352993659323484
4539254,0.00040352993659323414
2426782,0.0004022983831925144
2426785,0.000402298383192513
2426790,0.00040229838319251276
2426792,0.0004022983831925127
2426297,0.0004022983831925123
2426883,0.00040229838319251205
5411373,0.00040221041899014755
2387777,0.0004021352825885902
2387782,0.0004021352825885897
2387778,0.0004021352825885893
2387785,0.00040213528258858824
5811045,0.0003983747819123628
5811044,0.0003983747819123625
4455067,0.0003951461119657225
1465426,0.00039257689094453934
1465465,0.0003925768909445391
1399845,0.000392474536504267
5847258,0.0003905635116787886
5847254,0.000390563511678788
5841104,0.00039056351167878704
5841984,0.0003905635116787867
4113998,0.0003887624953817076
4113952,0.0003887624953817075
5506738,0.0003882126083317623
5790158,0.00038756104906141793
5790153,0.000387561049061417
7927426,0.00038753220013782504
7927465,0.00038753220013782477
7399849,0.0003852975352471318
7399847,0.0003852975352471311
7399846,0.00038529753524713085
7399841,0.0003852975352471305
7373998,0.00038529753524713047
7373952,0.0003852975352471304
7399842,0.00038529753524713036
5399849,0.0003840715036471059
5399847,0.0003840715036471052
5399846,0.0003840715036471049
5399841,0.00038407150364710464
5399842,0.0003840715036471045
9274539,0.0003834761457966568
9274556,0.0003834761457966565
9274550,0.00038347614579665627
9274532,0.00038347614579665383
4654261,0.00038235507473329
6738777,0.00038057088515343156
6738778,0.0003805708851534308
7823877,0.00037801094031973865
5813739,0.0003749409712116358
7785506,0.0003727904814055595
0679258,0.00037276822952536496
0679254,0.0003727682295253643
8411373,0.0003705143235766636
5239984,0.00037036944916429403
3455067,0.00036947470747724937
2584267,0.0003674242337234881
0755067,0.0003646192380727073
4654739,0.00035986359974897735
0153927,0.0003568355585153627
0153925,0.00035683555851536195
5465452,0.0003548915461677778
5419845,0.00035489154616777716
5472545,0.0003548915461677764
5465455,0.00035489154616777586
5465457,0.0003548915461677748
5465453,0.0003548915461677748
8239984,0.0003542515103631532
5813998,0.00035411091725543365
5813952,0.0003541109172554336
8139984,0.00035397060083429275
1045506,0.000353511872355654
1373877,0.0003532270828538399
8679015,0.0003518023428444188
0673998,0.00035084068661210777
0673952,0.0003508406866121076
5067399,0.00035075121482472594
5067395,0.0003507512148247259
5067392,0.0003507512148247247
5067373,0.0003507512148247245
0867901,0.0003506149684868197
5324267,0.00034977940510718194
1984725,0.0003478847830887908
6146545,0.00034777313897549236
4984654,0.0003475881531268296
4524267,0.0003458828027942035
4579274,0.0003458828027942009
2124267,0.00034465565997321396
3927452,0.00034340122885961037
3927455,0.0003434012288596084
3925845,0.000343401228859608
