rgram,public_prob,generated_prob,signed_diff,abs_diff
4131232,0.0012810747186453107,0.0012804171842887692,6.575343565414817e-07,6.575343565414817e-07
4413214,0.0006771406990124906,0.0006765071305261271,6.335684863634445e-07,6.335684863634445e-07
2323221,0.003751898353626778,0.0037525313235327483,-6.329699059701849e-07,6.329699059701849e-07
4221413,0.0033188634772099252,0.003319492000637882,-6.285234279567072e-07,6.285234279567072e-07
4134223,0.0012238870162157168,0.0012232588344633375,6.281817523793361e-07,6.281817523793361e-07
4413423,0.0006701501523835204,0.0006695231246206035,6.27027762916863e-07,6.27027762916863e-07
3221342,0.0023783402392964577,0.002378958254008596,-6.180147121381645e-07,6.180147121381645e-07
0241340,6.763241111783781e-07,6.76297160526923e-08,6.086943951256858e-07,6.086943951256858e-07
3232142,0.002325624925377098,0.0023262292419484014,-6.043165713034288e-07,6.043165713034288e-07
3214232,0.0023256249253770975,0.002326229241948401,-6.043165713034288e-07,6.043165713034288e-07
3221423,0.0023256249253770962,0.0023262292419483984,-6.043165713021277e-07,6.043165713021277e-07
2142141,0.0017623517738177,0.001762944337346971,-5.925635292709872e-07,5.925635292709872e-07
4004221,0.0018630628069199752,0.001862471686117964,5.911208020112791e-07,5.911208020112791e-07
3223221,0.002265699534270543,0.00226628827915335,-5.887448828070622e-07,5.887448828070622e-07
0142213,0.0002107990111305494,0.00021022539818484233,5.736129457070715e-07,5.736129457070715e-07
2141321,0.0017035256036170693,0.001704098387756353,-5.727841392837857e-07,5.727841392837857e-07
0244134,6.319807587896645e-07,6.319555751641295e-08,5.687852012732515e-07,5.687852012732515e-07
2141312,0.0016868756376682832,0.0016874428235140082,-5.671858457250226e-07,5.671858457250226e-07
4221421,0.0029900473537997265,0.002990613606321251,-5.662525215245455e-07,5.662525215245455e-07
4214221,0.0029900473537997265,0.0029906136063212506,-5.662525215241118e-07,5.662525215241118e-07
0141342,0.00020756130462244786,0.00020699650191905396,5.648027033938968e-07,5.648027033938968e-07
2142132,0.001658569933838951,0.0016591276023295097,-5.576684905586864e-07,5.576684905586864e-07
2132142,0.0016585699338389518,0.0016591276023295099,-5.576684905580359e-07,5.576684905580359e-07
3423221,0.0015681121483679236,0.001567562152815306,5.499955526176367e-07,5.499955526176367e-07
4004004,0.0017140192083585745,0.001713475376768279,5.438315902955241e-07,5.438315902955241e-07
0122142,0.0001990535191273197,0.00019851186727208768,5.416518552320173e-07,5.416518552320173e-07
4232214,0.0028473815986713516,0.002847920833278436,-5.392346070845488e-07,5.392346070845488e-07
0041321,0.001270179025569127,0.0012696402012197148,5.388243494123136e-07,5.388243494123136e-07
3400421,0.0015361582651455899,0.001535619477014379,5.387881312109155e-07,5.387881312109155e-07
0041312,0.0012577645144636383,0.001257230956490647,5.335579729914223e-07,5.335579729914223e-07
0142232,0.00019251290450551252,0.00019198905055739488,5.23853948117644e-07,5.23853948117644e-07
2213400,0.004020386215925603,0.00402090948929513,-5.232733695272052e-07,5.232733695272052e-07
4132212,0.0010062619883157834,0.0010057455064748956,5.164818408878204e-07,5.164818408878204e-07
1423232,0.0022112239306047556,0.002211738854394945,-5.149237901893797e-07,5.149237901893797e-07
1342142,0.002885747626091826,0.0028852345834876124,5.130426042137225e-07,5.130426042137225e-07
2134214,0.0015139618859361557,0.0015144709322069626,-5.090462708069472e-07,5.090462708069472e-07
3204134,0.0019132014777353237,0.0019136986255533658,-4.971478180420055e-07,4.971478180420055e-07
3400400,0.0014132667797127152,0.0014127710942196114,4.956854931037827e-07,4.956854931037827e-07
4132413,0.0009624435967703346,0.0009619496054973038,4.939912730308462e-07,4.939912730308462e-07
1422134,0.0021117755221429207,0.0021122672875588232,-4.917654159025675e-07,4.917654159025675e-07
0142322,0.00018000998381271892,0.00017952015202215345,4.898317905654634e-07,4.898317905654634e-07
1420413,0.0020935720601726743,0.0020940595865807134,-4.875264080390906e-07,4.875264080390906e-07
2214134,0.00373558734539358,0.0037360735507659996,-4.862053724196541e-07,4.862053724196541e-07
1421422,0.002075438787769155,0.0020759220915142484,-4.833037450936543e-07,4.833037450936543e-07
4132323,0.0009375973881537544,0.0009371161496386682,4.812385150862464e-07,4.812385150862464e-07
2214214,0.003688496158274057,0.003688976234493003,-4.800762189462703e-07,4.800762189462703e-07
0244132,5.204016425100093e-07,5.203809051696539e-08,4.683635519930439e-07,4.683635519930439e-07
3232213,0.001797990394173945,0.0017984576042465498,-4.672100726047998e-07,4.672100726047998e-07
4132041,0.0009066503456119739,0.0009061849912162202,4.653543957536862e-07,4.653543957536862e-07
3213400,0.0017793229686838882,0.0017797853280024259,-4.6235931853771603e-07,4.6235931853771603e-07
3221340,0.0017793229686838869,0.0017797853280024237,-4.6235931853684867e-07,4.6235931853684867e-07
4131214,0.0008992307143612555,0.0008987691682230444,4.615461382110383e-07,4.615461382110383e-07
4132134,0.0008954295340801226,0.0008949699389652151,4.595951149075116e-07,4.595951149075116e-07
2323232,0.002719113855747035,0.0027195725881217904,-4.587323747555147e-07,4.587323747555147e-07
2322134,0.0025968234166658085,0.002597261517839918,-4.3810117410962926e-07,4.3810117410962926e-07
1034004,0.0009624124668160896,0.0009628491572067752,-4.3669039068551865e-07,4.3669039068551865e-07
4413122,0.00046485919726635427,0.00046442425052867665,4.3494673767762327e-07,4.3494673767762327e-07
2320413,0.0025744388517283633,0.002574873176479282,-4.3432475091854245e-07,4.3432475091854245e-07
2132213,0.0012822759063887334,0.0012827070518319275,-4.311454431941194e-07,4.311454431941194e-07
2321422,0.00255214059800561,0.0025525711608946036,-4.305628889937109e-07,4.305628889937109e-07
1422141,0.0018477421499713594,0.001848172430404736,-4.3028043337665564e-07,4.3028043337665564e-07
3214134,0.0016532780703640408,0.001653707676756709,-4.2960639266820776e-07,4.2960639266820776e-07
4004232,0.001350217787090666,0.001349789384023293,4.28403067372898e-07,4.28403067372898e-07
3204413,0.001648329125997214,0.0016487574464004446,-4.283204032306566e-07,4.283204032306566e-07
3223232,0.0016420207628064848,0.0016424474439735793,-4.266811670945031e-07,4.266811670945031e-07
3232232,0.0016420207628064848,0.0016424474439735793,-4.266811670945031e-07,4.266811670945031e-07
2441342,0.0010728600395961982,0.0010724350788336489,4.24960762549333e-07,4.24960762549333e-07
3214214,0.0016324366819092588,0.001632860872640841,-4.241907315821747e-07,4.241907315821747e-07
2413221,0.0010696253857304487,0.0010692017062170114,4.236795134373184e-07,4.236795134373184e-07
0141340,0.00015528417281202936,0.000154861623335584,4.22549476445359e-07,4.22549476445359e-07
1421413,0.0018091438962860693,0.0018095651884126507,-4.2129212658140354e-07,4.2129212658140354e-07
4221342,0.002216096693014397,0.0022165163754447655,-4.1968243036849193e-07,4.1968243036849193e-07
3122142,0.0011940624418150185,0.0011936436394779349,4.18802337083567e-07,4.18802337083567e-07
1413221,0.0017860657038634205,0.0017864816218123116,-4.1591794889108205e-07,4.1591794889108205e-07
2141323,0.00123459636584701,0.0012350114797820592,-4.151139350492498e-07,4.151139350492498e-07
0241322,4.589499265593352e-07,4.589316379913218e-08,4.1305676276020305e-07,4.1305676276020305e-07
4214232,0.002166977466539689,0.002167387846814422,-4.103802747333109e-07,4.103802747333109e-07
4221423,0.002166977466539689,0.002167387846814422,-4.103802747333109e-07,4.103802747333109e-07
4232142,0.00216697746653969,0.0021673878468144226,-4.103802747324435e-07,4.103802747324435e-07
3204132,0.0015754169373333794,0.0015758263114123863,-4.09374079006963e-07,4.09374079006963e-07
0232214,4.524043124791637e-07,4.523862847455061e-08,4.0716568400461307e-07,4.0716568400461307e-07
1422132,0.0017389318188109053,0.001739336760775682,-4.049419647766516e-07,4.049419647766516e-07
0042214,0.000947957003629759,0.0009475548695167956,4.021341129633975e-07,4.021341129633975e-07
4132141,0.0007834747941249617,0.0007830726617691167,4.021323558449667e-07,4.021323558449667e-07
2214132,0.003076052179192097,0.003076452542764699,-4.003635726019389e-07,4.003635726019389e-07
4223221,0.002111140013653591,0.002111539819480913,-3.9980582732229014e-07,3.9980582732229014e-07
4004131,0.0012575092685111347,0.0012571102804123033,3.9898809883146674e-07,3.9898809883146674e-07
3232322,0.0015353782734314318,0.0015357772434131023,-3.989699816704835e-07,3.989699816704835e-07
3423232,0.001136458152143378,0.0011360595537841572,3.9859835922087354e-07,3.9859835922087354e-07
1342213,0.002231033239756859,0.002230636595541313,3.966442155456558e-07,3.966442155456558e-07
2131221,0.0011749501425148776,0.0011753452013297573,-3.950588148796553e-07,3.950588148796553e-07
2123221,0.0011735624810766776,0.001173957073311859,-3.9459223518138395e-07,3.9459223518138395e-07
2132232,0.001171042775734156,0.0011714365207573818,-3.9374502322584576e-07,3.9374502322584576e-07
0041323,0.0009205370354358599,0.0009201465331844106,3.9050225144926683e-07,3.9050225144926683e-07
